Предприятие	Вид деятельности	Руководство	Место расположения	Контактные телефоны								
ЗАО ЦТО и РАТ «Авиасервис»	Техническое обслуживание и ремонт авиационной техники	Ахмеров Эрфан Абдулхакович	433400 Ульяновская обл. Чердаклинский р-он, а/п «Ульяновск-Восточный»; почтовый адрес : 432064 г. Ульяновск -64 а/я 2112	(8-84-22) 28-12-80	 28-16-33	 28-04-75						
ООО «Фазари»	Производство мебели	Абдрахманов Завдят Нурлисламович	433405 Чердаклинский район	 п. Мирный	 воинская часть а/я 2225	(8-84-22) 79-09-58						
ОО «ППСЗ» (Предприятие по производству средств защиты)	Производство средств защиты (огнетушителей)	Ганенков Дмитрий Александрович 	433400 р.п. Чердаклы	  ул. Неверова	3	(8-84-231) 2-26-63	 2-42-10					
ОАО «Спектр-Авиа»	Окраска воздушных судов	Ануфриев Сергей Александрович	433400 Ульяновская обл. Чердаклинский р-он	 270 м северо-восточнее здания аэропорта «Ульяновск-Восточный»	 а/я 4239	(8-84-22) 28-77-60	 28-78-64	 28-78-38	 28-77-83	  28-78-08		
ООО «Мебельеф»	Производство мебели	Ефремов Владимир  Васильевич	433409 с. Архангельское ул. Совхозная	 д. 50	8-901-847-03-04							
ООО «Мебелькомплект»	Производство мебели	Крылов Сергей Васильевич	433400 р.п. Чердаклы ул. Кирова	 д. 59	(8-84-231) 2-40-40	 2-45-03						
ООО «Уник»	Производство дверей	Урмаков Николай Николаевич	 433400 р.п. Чердаклы	 ул. Молодёжная	3	(8-84-231) 2-32-74	 2-41-76					
ООО «Рамзес»	Производство мебели	Дурасов Александр Михайлович 	433409 Чердаклинский р-он	 с. Архангельское ул. Совхозная	22	 432064 г. Ульяновск ул. Сурова	4					
МУП «Водстрой»	Строительство  и эксплуатация систем водоснабжения	Хайретдинов Изил  Завдятович 		8(84231)2-25-96	 2-13-64							
ОАО «Чердаклинский комбикормовый завод»	Приёмка	 отпуск	 хранение и сушка зерна	Смирнов Валентин Эдуардович 								
ООО Сырзавод «Надежда» ООО «Вита»	Переработка молока	 производство сыра 	Бернт Владимир Пантелеевич  		2-49-49							
ООО «Чердаклинский молокозавод»	Производство коровьего масла	 комбинированных жиров	Рыбаков Вячеслав Геннадьевич 		2-23-06	  2-44-41						
ООО «ВиД»	Производство изделий из стеклопластика	Вахонин Михаил Николаевич 	с. Архангельское	 ул. Западная	17	20-61-58	 25-79-72 бухгалтерия					
ООО «Пальмира»	Производство деревянных конструкций и строительных изделий	Ермолина Светлана Евгеньевна		2-35-08	 2-35-09							
ООО «Пост-Принт»	Брошюровочно - переплеточная деятельность	Нилова Галина Петровна	с. Озерки	54-06-04								
ООО «Колос-09»	Производство и реализация хлебобулочных изделий	Карпухин Сергей Петрович  		2-35-39								
ИП Каюмов Н.К.	Производство муки пшеничной и крупы гречневой	Каюмов Наиль Кадирович 		2-40-49								
ИП Эпикуров А.Г. «Архангельские окна»	Производство окон	Эпикуров Андрей Геннадьевич 		51-63-00 								
ИП Бадамшин И.Д.	Производство мебели	Бадамшин Ильяс Дамирович		56-1-01								
ООО «Мукомол-Плюс»	Производство хлеба и хлебобулочных изделий	 муки пшеничной	Шпагин Николай Васильевич		2-31-91	 2-17-07						
ООО «Ульяновская птицефабрика»	Производство мяса птицы	 яйца куриного	Зубавленко Сергей Петрович	П. Мирный	79-05-20	 79-05-22	 79-05-23					
ООО «Двери Поволжья»	Производство дверей	Филимонов Станислав Владимирович	р.п. Чердаклы	 ул. Молодёжная	1	2-36-62						
ООО «Промекс»	Производство мебели	Мифтахов Рушан Равильевич 		2-32-15								
ООО «Авторио»	Производство мебели			2-13-90								
ЗАО «Барс»	Производство минеральной воды 	Бероев Эльбрус Андреевич	с. Богдашкино	37-54-52	 37-17-30	 Секретарь 35-80-26	 Факс 35-80-64					
ООО «Средневолжская промышленная компания»	Производство грузоподъемных механизмов	Генеральный директор – Гизятов Минзагит Абудуллович	 гл. бух. – Таёнкина Лидия Никифоровна	433400, Ульяновская область, Чердаклинский район, р.п. Чердаклы, ул. Станционная 2Б, а/я 70; E-mail: svpk-ul@rambler.ru или svpk-ul@mail.ru	Генеральный директор	 главный инженер 2-40-12 (факс)	 Директор 2-42-41 (факс)	 Коммерческий директор 2-41-25 (факс)	 Отдел сбыта 2-43-13	 2-43-12		 2-30-77
ООО «Завод МАФ»	Операции по реализации продукции СВПК	Генеральный директор -  Кочеулов Сергей Павлович	 гл. бух. – Холодняк Людмила Ивановна	 отдел кадров – Антонова Эльвира Рифгатовна								
ООО «Торговый дом «Ульяновские тали»		Антонов Денис Валерьевич										
ООО «Ульяновский крановый завод»	Производство металла		433427	 Ульяновская область	 Чердаклинский район	 с. Малаевка	 ул. Молодежная	 12А	 mps-m@bk.ru	38-1-83		 38-1-81
