Наименование организации;Контакты;Основной вид деятельности;Координаты (Долгота/Широта WSG 84)
ООО «ДимитровградСтрой»;г.Димитровград, ул.Юнг Северного флота, 20, тел. 3-21-28, E-mail: dus@sai-net.ru;Строительство, капитальный ремонт объектов производственного и непроизводственного назначения, производство строительных материалов, конструкций, изделий, услуги строительных машин и механизмов, проектирование объектов;49.568676, 54.231162
ООО «Аврора»;г.Димитровград, ул.Калугина, д.48, тел. 2-92-11, факс 2-92-39;Строительно-монтажные работы, производство строительных материалов и изделий, ремонт, строительство и реставрация производственных, дорожных и гражданско-жилищных объектов, выполнение электромонтажных и пусконаладочных работ, деревообработка, столярные работы, оптовая и розничная торговля, организация предприятий общественного питания, оказание услуг населению;49.622229, 54.204556
ООО «Волга-1»;г.Димитровград, пр.Автостроителей, 80, тел./факс 5-32-32, тел. 9-79-79, 5-55-81;Строительные и монтажные работы, устройство наружных и внутренних инженерных сетей, работы по защите конструкций и оборудования, отделочные работы, инжиниринговые услуги;49.576520, 54.208074
ЗАО «Агентство недвижимости»;г.Димитровград, пр.Димитрова, 4А, тел./факс 3-29-41, тел. 6-82-00, 6-80-03;"Инвестирование строительства; риэлтерская, юридическая службы; оценка бизнеса, недвижимости, оборудования, интеллектуальной собственности";49.555442, 54.224481
ООО «Монтажник-Д»;г.Димитровград, ул.Промышленная, 59, тел. 6-43-55, 3-50-74, факс 6-43-45;Производство строительно-монтажных работ, общестроительные, отделочные, плотничные, электромонтажные, сантехнические, газопровод низкого давления, а также оказание услуг населению по установке счетчиков газа, горячей и холодной воды;49.571922, 54.217550
ООО «СМУ-302»;г.Димитровград, ул. Ганенкова,48, тел. 2-68-28, 6-97-96, 6-97-85;Строительно-монтажные работы, производство бетона;49.600106, 54.223214
ООО «Спецпожстрой»;г.Димитровград, ул. Гоголя, 21, тел. 5-25-28, 2-14-82;Специальные пожарные работы, розничная и оптовая продажа пожарного инвентаря;49.586500, 54.229961
ООО «МСУ-14 Димитровград»;г.Димитровград, ул. Юнг Северного флота, 2, тел. 5-84-32, 5-22-99;Монтажно-строительные работы;49.565592, 54.222929
ООО «Стройбытгаз»;г.Димитровград, ул. 3 Интернационала, 98, тел. 2-61-13;Монтаж газовых сетей и оборудования;49.624211, 54.221025
ООО «Спецэлектромонтаж»;г.Димитровград, ул. Промышленная, 51/1, тел. 6-97-75, 6-42-74;Выполнение всех видов электромонтажных работ;49.571412, 54.215803
ООО «Димитровградский завод КБК»;г.Димитровград, ул. Промышленная, 5, тел. 3-57-79, 3-33-75, сайт: www.zhbi-dim.ru;Производство бетона, раствора, сборного железобетона, арматурных строительных изделий, металлоконструкций;49.565120, 54.189358
ООО «Завод ангаров ВИТАЛ»;г.Димитровград, Мулловское шоссе, 39, тел. 4-84-01, 4-84-03, 6-16-08,  E-mail: info@zavod-p.ru, сайт: www.zavod-p.ru;Профнастил, металлочерепица, элементы модульных зданий, модульные здания;49.558876, 54.218359
ООО ПКФ «Кедр»;г.Димитровград, ул.Ганенкова, 1А, тел./факс 5-73-79, 5-57-32, E-mail: kedr-d@rambler.ru;Оптовая и розничная торговля стройматериалами, производство столярных изделия и изготовление металлических конструкций;49.590182, 54.227021
ООО ПКФ «СтройСнаб»;г.Димитровград, пр.Автостроителей, 89, тел. 3-39-71,3-57-42 факс 3-31-87;"Производство фундаментных блоков, раствора, плит, керамзитобетонных блоков, перемычек; торговля кирпичом красным, силикатным, облицовочным";49.575924, 54.211803
ООО «Димитровградский бетонно-растворный завод»;г.Димитровград, Мулловское шоссе, 49а, тел. 5-06-12, 8-906-393-27-72;Производство товарного раствора и бетона. Производство стеновых камней, фундаментных блоков;49.563087, 54.222055
ООО «Вижен»;г.Димитровград, ул. Куйбышева, 226, тел. 3-40-42;Производство пластмассовых изделий используемых в строительстве;49.613947, 54.225908
ООО «Форткам»;г.Димитровград, ул. Западная, 22, тел. 5-22-77;Производство облицовочного камня;49.596995, 54.211182
ООО «Мир Дверей»;г.Димитровград, ул. Промышленная, 51 кор. 3, тел. 3-31-42;Производство дверей;49.571686, 54.215593
ООО «Регион-2000»;г.Димитровград, ул. Жуковского, 6/5, тел. 6-10-26;Производство облицовочного камня;49.568081, 54.217788
ООО «Европа-Д»;г.Димитровград, ул. Восточная, 46, тел. 5-11-97;Производство мебели на металлокаркасе;49.657275, 54.218284
ООО «Шанс»;г.Димитровград, ул. 3-го Интернационала, 96, тел. 2-68-18;Производство мебели;49.624375, 54.220508
ООО «Мир стёкол и зеркал»;г.Димитровград, ул. Московская, 66, тел. 8-905-035-47-00;Формирование и обработка листового стекла;49.592156, 54.211100
ООО «Альянс-Поволжье»;г.Димитровград, ул. Куйбышева, 30, тел. 6-83-03;Производство и установка пластиковых окон;49.633602, 54.199360 
ООО «Народные окна»;г.Димитровград, ул. Октябрьская, 73, 6-00-59, 7-07-67;Производство и установка пластиковых окон;49.589686, 54.216352
ООО «ДиДоРис»;г.Димитровград, ул.Жуковского,2, тел. 6-85-18;Производство асфальта;49.571066, 54.220577
