Наименование организации	Контакты		Координаты (Долгота/Широта WSG 84)
ООО «ДимитровградСтрой»	г.Димитровград		20
ООО «Аврора»	г.Димитровград		 д.48
ООО «Волга-1»	г.Димитровград		80
ЗАО «Агентство недвижимости»	г.Димитровград		 4А
ООО «Монтажник-Д»	г.Димитровград		59
ООО «СМУ-302»	г.Димитровград		48
			
ООО «МСУ-14 Димитровград»	г.Димитровград		2
ООО «Стройбытгаз»	г.Димитровград		98
ООО «Спецэлектромонтаж»	г.Димитровград		 51/1
ООО «Димитровградский завод КБК»	г.Димитровград		5
ООО «Завод ангаров ВИТАЛ»	г.Димитровград		39
ООО ПКФ «Кедр»	г.Димитровград		 1А
ООО ПКФ «СтройСнаб»	г.Димитровград		89
ООО «Димитровградский бетонно-растворный завод»	г.Димитровград		 49а
ООО «Вижен»	г.Димитровград		226
ООО «Форткам»	г.Димитровград		22
	г.Димитровград		 51 кор. 3
ООО «Регион-2000»	г.Димитровград		 6/5
ООО «Европа-Д»	г.Димитровград		46
ООО «Шанс»	г.Димитровград		96
ООО «Мир стёкол и зеркал»	г.Димитровград		66
ООО «Альянс-Поволжье»	г.Димитровград		30
ООО «Народные окна»	г.Димитровград		73
ООО «ДиДоРис»	г.Димитровград		2
